dediac	original_gold	max_gold	max_gold_alt
ناحيته	نَاحِيَتِهِ	نَاحِيَتِهِ	
أوضح	أَوْضَحَ	أَوْضَحَ	
مولانا	مَوْلَانَا	مَوْلَانَا	
أحمد	أَحْمَدُ	أَحْمَدُ	
هارون	هَارُونَ	هَارُونَ	
وزير	وَزِيرُ	وَزِيرُ	
الدولة	الدَّوْلَةِ	الدَّوْلَةِ	
بالشؤون	بِالشُّؤُونِ	بِالشُّؤُونِ	
الإنسانية	الْإِنْسَانِيَّةِ	الْإِنْسَانِيَّةِ	
أن	أَنَّ	أَنَّ	
حديث	حَدِيثَ	حَدِيثَ	
مدير	مُدِيرِ	مُدِيرِ	
العمليات	الْعَمَلِيَّاتِ	الْعَمَلِيَّاتِ	
بمنظمة	بِمُنَظَّمَةِ	بِمُنَظَّمَةِ	
أطباء	أَطِبَّاءَ	أَطِبَّاءَ	
بلا	بِلَا	بِلَا	
حدود	حُدُودٍ	حُدُودٍ	
يؤكد	يُؤَكِّدُ	يُؤَكِّدُ	
كذب	كَذِبَ	كَذِبَ	
وافتراء	وَافْتِرَاءَ	وَافْتِرَاءَ	
أوكامبو	أُوكَامْبُو	أُوكَامْبُو	
بحق	بِحَقِّ	بِحَقِّ	
السودان	السُّودَانِ	السُّودَانِ	
.	.	.	
			
حركة	حَرَكَةُ	حَرَكَةُ	
العدل	الْعَدْلِ	الْعَدْلِ	
والمساواة	وَالْمُسَاوَاةِ	وَالْمُسَاوَاةِ	
المتمردة	الْمُتَمَرِّدَةُ	الْمُتَمَرِّدَةُ	
تحبط	تُحْبِطُ	تُحْبِطُ	
عملية	عَمَلِيَّةَ	عَمَلِيَّةَ	
السلام	السَّلَامِ	السَّلَامِ	
بسبب	بِسَبَبِ	بِسَبَبِ	
طرد	طَرْدِ	طَرْدِ	
منظمات	مُنَظَّمَاتِ	مُنَظَّمَاتِ	
الإغاثة	الْإِغَاثَةِ	الْإِغَاثَةِ	
الدولية	الدَّوْلِيَّةِ	الدَّوْلِيَّةِ	
			
اشترطت	اشْتَرَطَتْ	اِشْتَرَطَتْ	
حركة	حَرَكَةُ	حَرَكَةُ	
العدل	الْعَدْلِ	الْعَدْلِ	
والمساواة	وَالْمُسَاوَاةِ	وَالْمُسَاوَاةِ	
المتمردة	الْمُتَمَرِّدَةُ	الْمُتَمَرِّدَةُ	
في	فِي	فِي	
إقليم	إِقْلِيمِ	إِقْلِيمِ	
دارفور	دَارْفُورَ	دَارْفُورَ	
عودة	عَوْدَةَ	عَوْدَةَ	
منظمات	مُنَظَّمَاتِ	مُنَظَّمَاتِ	
الإغاثة	الْإِغَاثَةِ	الْإِغَاثَةِ	
المطرودة	الْمَطْرُودَةِ	الْمَطْرُودَةِ	
إلى	إِلَى	إِلَى	
السودان	السُّودَانِ	السُّودَانِ	
لاستئناف	لِاسْتِئْنَافِ	لِاسْتِئْنَافِ	
محادثات	مُحَادَثَاتِ	مُحَادَثَاتِ	
السلام	السَّلَامِ	السَّلَامِ	
مع	مَعَ	مَعَ	
الخرطوم	الْخُرْطُومِ	الْخُرْطُومِ	
.	.	.	
			
وقال	وَقَالَ	وَقَالَ	
زعيم	زَعِيمُ	زَعِيمُ	
الحركة	الْحَرَكَةِ	الْحَرَكَةِ	
خليل	خَلِيلُ	خَلِيلُ	
إبراهيم	إِبْرَاهِيمَ	إِبْرَاهِيمَ	
في	فِي	فِي	
تصريحات	تَصْرِيحَاتٍ	تَصْرِيحَاتٍ	
صحفية	صَحَفِيَّةٍ	صَحَفِيَّةٍ	
إن	إِنَّ	إِنَّ	
الحركة	الْحَرَكَةَ	الْحَرَكَةَ	
لن	لَنْ	لَنْ	
تتوجه	تَتَوَجَّهَ	تَتَوَجَّهَ	
إلى	إِلَى	إِلَى	
محادثات	مُحَادَثَاتِ	مُحَادَثَاتِ	
الدوحة	الدَّوْحَةِ	الدَّوْحَةِ	
إلا	إِلَّا	إِلَّا	
إذا	إِذَا	إِذَا	
سمحت	سَمَحَتْ	سَمَحَتِ	
الحكومة	الْحُكُومَةُ	الْحُكُومَةُ	
السودانية	السُّودَانِيَّةُ	السُّودَانِيَّةُ	
لمنظمات	لِمُنَظَّمَاتِ	لِمُنَظَّمَاتِ	
الإغاثة	الْإِغَاثَةِ	الْإِغَاثَةِ	
المطرودة	الْمَطْرُودَةِ	الْمَطْرُودَةِ	
بالعودة	بِالْعَوْدَةِ	بِالْعَوْدَةِ	
لممارسة	لِمُمَارَسَةِ	لِمُمَارَسَةِ	
نشاطها	نَشَاطِهَا	نَشَاطِهَا	
بالبلاد	بِالْبِلَادِ	بِالْبِلَادِ	
.	.	.	
			
ونقلت	وَنَقَلَتْ	وَنَقَلَتْ	
أسوشيتد	أَسُّوشِيتِدْ	أَسُّوشِيتِدْ	أَسُوشِيِتِدْ
برس	بِرِسْ	بِرِسْ	
عن	عَنْ	عَنْ	
إبراهيم	إِبْرَاهِيمَ	إِبْرَاهِيمَ	
قوله	قَوْلَهُ	قَوْلَهُ	
إن	إِنَّ	إِنَّ	
الحكومة	الْحُكُومَةَ	الْحُكُومَةَ	
تسببت	تَسَبَّبَتْ	تَسَبَّبَتْ	
في	فِي	فِي	
"	"	"	
وضع	وَضْعٍ	وَضْعٍ	
مأساوي	مَأْسَاوِيٍّ	مَأْسَاوِيٍّ	
على	عَلَى	عَلَى	
الأرض	الْأَرْضِ	الْأَرْضِ	
"	"	"	
داعيا	دَاعِيًا	دَاعِيًا	
سكان	سُكَّانَ	سُكَّانَ	
دارفور	دَارْفُورَ	دَارْفُورَ	
إلى	إِلَى	إِلَى	
مقاومة	مُقَاوَمَةِ	مُقَاوَمَةِ	
الحكومة	الْحُكُومَةِ	الْحُكُومَةِ	
قائلا	قَائِلًا	قَائِلًا	
"	"	"	
إنهم	إِنَّهُمْ	إِنَّهُمْ	
لن	لَنْ	لَنْ	
ينتظروا	يَنْتَظِرُوا	يَنْتَظِرُوا	
المساعدات	الْمُسَاعَدَاتِ	الْمُسَاعَدَاتِ	
الحكومية	الْحُكُومِيَّةَ	الْحُكُومِيَّةَ	
أو	أَوْ	أَوِ	
الدولية	الدَّوْلِيَّةَ	الدَّوْلِيَّةَ	
،	،	،	
إنهم	إِنَّهُمْ	إِنَّهُمْ	
سيساعدون	سَيُسَاعِدُونَ	سَيُسَاعِدُونَ	
أنفسهم	أَنْفُسَهُمْ	أَنْفُسَهُمْ	
"	"	"	
.	.	.	
			
خفض	خَفْضُ	خَفْضُ	
أوبك	أُوبِكْ	أُوبِكْ	
لإنتاجها	لِإِنْتَاجِهَا	لِإِنْتَاجِهَا	
يرفع	يَرْفَعُ	يَرْفَعُ	
سعر	سِعْرَ	سِعْرَ	
النفط	النِّفْطِ	النِّفْطِ	النَّفْطِ
من	مِنْ	مِنْ	
جديد	جَدِيدٍ	جَدِيدٍ	
إلى	إِلَى	إِلَى	
أكثر	أَكْثَرَ	أَكْثَرَ	
من	مِنْ	مِنْ	
45	45	45	
دولارا	دُولَارًا	دُولَارًا	
للبرميل	لِلْبِرْمِيلِ	لِلْبِرْمِيلِ	لِلْبَرْمِيلِ
			
ارتفع	ارْتَفَعَ	اِرْتَفَعَ	
النفط	النِّفْطُ	النِّفْطُ	النَّفْطُ
متجاوزا	مُتَجَاوِزًا	مُتَجَاوِزًا	
47	47	47	
دولارا	دُولَارًا	دُولَارًا	
للبرميل	لِلْبِرْمِيلِ	لِلْبِرْمِيلِ	لِلْبَرْمِيلِ
أمس	أَمْسِ	أَمْسِ	
مع	مَعَ	مَعَ	
تجدد	تَجَدُّدِ	تَجَدُّدِ	
عمليات	عَمَلِيَّاتِ	عَمَلِيَّاتِ	
الشراء	الشِّرَاءِ	الشِّرَاءِ	
وسط	وَسَطَ	وَسَطَ	
تكهنات	تَكَهُّنَاتٍ	تَكَهُّنَاتٍ	
بأن	بِأَنَّ	بِأَنَّ	
منظمة	مُنَظَّمَةَ	مُنَظَّمَةَ	
أوبك	أُوبِكْ	أُوبِكْ	
قد	قَدْ	قَدْ	
تعمد	تَعْمِدُ	تَعْمِدُ	
إلى	إِلَى	إِلَى	
خفض	خَفْضِ	خَفْضِ	
الإنتاج	الْإِنْتَاجِ	الْإِنْتَاجِ	
ثانية	ثَانِيَةً	ثَانِيَةً	
في	فِي	فِي	
اجتماعها	اجْتِمَاعِهَا	اجْتِمَاعِهَا	
يوم	يَوْمَ	يَوْمَ	
الأحد	الْأَحَدِ	الْأَحَدِ	
.	.	.	
وتراجعت	وَتَرَاجَعَتْ	وَتَرَاجَعَتْ	
أسعار	أَسْعَارُ	أَسْعَارُ	
الذهب	الذَّهَبِ	الذَّهَبِ	
أكثر	أَكْثَرَ	أَكْثَرَ	
من	مِنْ	مِنِ	
اثنين	اثْنَيْنِ	اثْنَيْنِ	
بالمئة	بِالْمِئَةِ	بِالْمِئَةِ	
بعد	بَعْدَ	بَعْدَ	
صعود	صُعُودِ	صُعُودِ	
الدولار	الدُّولَارِ	الدُّولَارِ	
وصدور	وَصُدُورِ	وَصُدُورِ	
بيانات	بَيَانَاتٍ	بَيَانَاتٍ	
تظهر	تُظْهِرُ	تُظْهِرُ	
تراجعا	تَرَاجُعًا	تَرَاجُعًا	
طفيفا	طَفِيفًا	طَفِيفًا	
في	فِي	فِي	
حيازات	حِيَازَاتِ	حِيَازَاتِ	
الصناديق	الصَّنَادِيقِ	الصَّنَادِيقِ	
المتداولة	الْمُتَدَاوَلَةِ	الْمُتَدَاوَلَةِ	
.	.	.	
وتراجعت	وَتَرَاجَعَتْ	وَتَرَاجَعَتِ	
الأسهم	الْأَسْهُمُ	الْأَسْهُمُ	
الأميركية	الْأَمِيرِكِيَّةُ	الْأَمِيرِكِيَّةُ	الْأَمِيرْكِيَّةُ
عند	عِنْدَ	عِنْدَ	
الفتح	الْفَتْحِ	الْفَتْحِ	
مع	مَعَ	مَعَ	
استمرار	اسْتِمْرَارِ	اسْتِمْرَارِ	
عدم	عَدَمِ	عَدَمِ	
الثقة	الثِّقَةِ	الثِّقَةِ	
في	فِي	فِي	
خطوات	خُطُوَاتِ	خُطُوَاتِ	
تعزيز	تَعْزِيزِ	تَعْزِيزِ	
البنوك	الْبُنُوكِ	الْبُنُوكِ	
المتداعية	الْمُتَدَاعِيَةِ	الْمُتَدَاعِيَةِ	
وهو	وَهُوَ	وَهُوَ	
ما	مَا	مَا	
طغى	طَغَى	طَغَى	
على	عَلَى	عَلَى	
عرض	عَرْضٍ	عَرْضٍ	
من	مِنْ	مِنْ	
ميرك	مِيرِكْ	مِيرِكْ	
للاستحواذ	لِلِاسْتِحْوَاذِ	لِلِاسْتِحْوَاذِ	
على	عَلَى	عَلَى	
شيرينج	شِيرِينْجْ	شِيرِينْجْ	
-	-	-	
بلاو	بِلَاوْ	بِلَاوْ	
.	.	.	
وكانت	وَكَانَتْ	وَكَانَتْ	
مشاعر	مَشَاعِرُ	مَشَاعِرُ	
القلق	الْقَلَقِ	الْقَلَقِ	
على	عَلَى	عَلَى	
مصير	مَصِيرِ	مَصِيرِ	
بنوك	بُنُوكٍ	بُنُوكٍ	
رئيسية	رَئِيسِيَّةٍ	رَئِيسِيَّةٍ	
قد	قَدْ	قَدْ	
دفعت	دَفَعَتْ	دَفَعَتْ	
أسواق	أَسْوَاقَ	أَسْوَاقَ	
الأسهم	الْأَسْهُمِ	الْأَسْهُمِ	
إلى	إِلَى	إِلَى	
التراجع	التَّرَاجُعِ	التَّرَاجُعِ	
في	فِي	فِي	
أوروبا	أُورُوبَّا	أُورُوبَّا	
لتواصل	لِتُوَاصِلَ	لِتُوَاصِلَ	
عمليات	عَمَلِيَّاتِ	عَمَلِيَّاتِ	
البيع	الْبَيْعِ	الْبَيْعِ	
الواسعة	الْوَاسِعَةَ	الْوَاسِعَةَ	
التي	الَّتِي	الَّتِي	
شهدتها	شَهِدَتْهَا	شَهِدَتْهَا	
المعاملات	الْمُعَامَلَاتُ	الْمُعَامَلَاتُ	
الآسيوية	الْآسْيَوِيَّةُ	الْآسْيَوِيَّةُ	الْآسِيَوِيَّةُ
.	.	.	
			
وتعهدت	وَتَعَهَّدَتْ	وَتَعَهَّدَتْ	
أوبك	أُوبِكْ	أُوبِكْ	
بالفعل	بِالْفِعْلِ	بِالْفِعْلِ	
بخفض	بِخَفْضِ	بِخَفْضِ	
إنتاج	إِنْتَاجِ	إِنْتَاجِ	
النفط	النِّفْطِ	النِّفْطِ	النَّفْطِ
ما	مَا	مَا	
مجموعه	مَجْمُوعُهُ	مَجْمُوعُهُ	
2.4	2.4	2.4	
مليون	مِلْيُونَ	مِلْيُونَ	
برميل	بِرْمِيلٍ	بِرْمِيلٍ	بَرْمِيلٍ
يوميا	يَوْمِيًّا	يَوْمِيًّا	
منذ	مُنْذُ	مُنْذُ	
أيلول	أَيْلُولَ	أَيْلُولَ	
وخلص	وَخَلَصَ	وَخَلَصَ	
مسح	مَسْحٌ	مَسْحٌ	
لرويترز	لِرُويِتَرْزْ	لِرُويِتَرْزْ	لِرُويْتِرْزْ
إلى	إِلَى	إِلَى	
أن	أَنَّ	أَنَّ	
المنظمة	الْمُنَظَّمَةَ	الْمُنَظَّمَةَ	
طبقت	طَبَّقَتْ	طَبَّقَتْ	
أكثر	أَكْثَرَ	أَكْثَرَ	
من	مِنْ	مِنْ	
80	80	80	
في	فِي	فِي	
المئة	الْمِئَةِ	الْمِئَةِ	
من	مِنْ	مِنْ	
هذه	هَذِهِ	هَٰذِهِ	
التخفيضات	التَّخْفِيضَاتِ	التَّخْفِيضَاتِ	
.	.	.	
وقال	وَقَالَ	وَقَالَ	
مصدر	مَصْدَرٌ	مَصْدَرٌ	
تجاري	تِجَارِيٌّ	تِجَارِيٌّ	
إن	إِنَّ	إِنَّ	
السعودية	السُّعُودِيَّةَ	السُّعُودِيَّةَ	السَّعُودِيَّةَ
أكبر	أَكْبَرَ	أَكْبَرَ	
بلد	بَلَدٍ	بَلَدٍ	
مصدر	مُصَدِّرٍ	مُصَدِّرٍ	
للنفط	لِلنِّفْطِ	لِلنِّفْطِ	لِلنَّفْطِ
في	فِي	فِي	
أوبك	أُوبِكْ	أُوبِكْ	
ستخفض	سَتُخَفِّضُ	سَتُخَفِّضُ	
الإمدادات	الْإِمْدَادَاتِ	الْإِمْدَادَاتِ	
إلى	إِلَى	إِلَى	
شركة	شَرِكَةِ	شَرِكَةِ	
نفط	نِفْطٍ	نِفْطٍ	نَفْطٍ
أوروبية	أُورُوبِّيَّةٍ	أُورُوبِّيَّةٍ	
واحدة	وَاحِدَةٍ	وَاحِدَةٍ	
في	فِي	فِي	
نيسان	نِيسَانَ	نِيسَانَ	
وذلك	وَذَلِكَ	وَذَٰلِكَ	
قبل	قَبْلَ	قَبْلَ	
أقل	أَقَلَّ	أَقَلَّ	
من	مِنْ	مِنْ	
أسبوع	أُسْبُوعٍ	أُسْبُوعٍ	
من	مِنْ	مِنِ	
اجتماع	اجْتِمَاعِ	اجْتِمَاعِ	
المنظمة	الْمُنَظَّمَةِ	الْمُنَظَّمَةِ	
لمراجعة	لِمُرَاجَعَةِ	لِمُرَاجَعَةِ	
سياسة	سِيَاسَةِ	سِيَاسَةِ	
الإنتاج	الْإِنْتَاجِ	الْإِنْتَاجِ	
.	.	.	
ويتوقع	وَيَتَوَقَّعُ	وَيَتَوَقَّعُ	
البعض	الْبَعْضُ	الْبَعْضُ	
في	فِي	فِي	
سوق	سُوقِ	سُوقِ	
النفط	النِّفْطِ	النِّفْطِ	النَّفْطِ
خفض	خَفْضَ	خَفْضَ	
إنتاج	إِنْتَاجِ	إِنْتَاجِ	
أوبك	أُوبِكْ	أُوبِكْ	
نحو	نَحْوَ	نَحْوَ	
مليون	مِلْيُونِ	مِلْيُونِ	
برميل	بِرْمِيلٍ	بِرْمِيلٍ	بَرْمِيلٍ
يوميا	يَوْمِيًّا	يَوْمِيًّا	
لكن	لَكِنَّ	لَكِنَّ	
آخرين	آخَرِينَ	آخَرِينَ	
يقولون	يَقُولُونَ	يَقُولُونَ	
إن	إِنَّ	إِنَّ	
هذا	هَذَا	هَٰذَا	
سيكون	سَيَكُونُ	سَيَكُونُ	
صعب	صَعْبَ	صَعْبَ	
التنفيذ	التَّنْفِيذِ	التَّنْفِيذِ	
.	.	.	
			
#	#	#	
علوم	عُلُومٌ	عُلُومٌ	
			
فيسبوك	فِيسْبُوكْ	فِيسْبُوكْ	
تستحوذ	تَسْتَحْوِذُ	تَسْتَحْوِذُ	
على	عَلَى	عَلَى	
تطبيق	تَطْبِيقِ	تَطْبِيقِ	
واتس	وَاتِسْ	وَاتِسْ	
آب	آبْ	آبْ	
مقابل	مُقَابِلَ	مُقَابِلَ	
19	19	19	
مليار	مِلْيَارَ	مِلْيَارَ	
دولار	دُولَارٍ	دُولَارٍ	
			
أعلنت	أَعْلَنَتْ	أَعْلَنَتْ	
شركة	شَرِكَةُ	شَرِكَةُ	
"	"	"	
فيسبوك	فِيسْبُوكْ	فِيسْبُوكْ	
"	"	"	
استحواذها	اسْتِحْوَاذَهَا	اِسْتِحْوَاذَهَا	
على	عَلَى	عَلَى	
تطبيق	تَطْبِيقِ	تَطْبِيقِ	
التراسل	التَّرَاسُلِ	التَّرَاسُلِ	
الفوري	الْفَوْرِيِّ	الْفَوْرِيِّ	
"	"	"	
واتس	وَاتِسْ	وَاتِسْ	
آب	آبْ	آبْ	
"	"	"	
WhatsApp	WhatsApp	WhatsApp	
في	فِي	فِي	
صفقة	صَفْقَةٍ	صَفْقَةٍ	
قدرت	قُدِّرَتْ	قُدِّرَتْ	
بمبلغ	بِمَبْلَغِ	بِمَبْلَغِ	
19	19	19	
مليار	مِلْيَارَ	مِلْيَارَ	
دولار	دُولَارٍ	دُولَارٍ	
أميركي	أَمِيرِكِيٍّ	أَمِيرِكِيٍّ	أَمِيرْكِيٍّ
مقسمة	مُقَسَّمَةٍ	مُقَسَّمَةٍ	
بين	بَيْنَ	بَيْنَ	
مبلغ	مَبْلَغٍ	مَبْلَغٍ	
يدفع	يُدْفَعُ	يُدْفَعُ	
نقدا	نَقْدًا	نَقْدًا	
وبين	وَبَيْنَ	وَبَيْنَ	
أسهم	أَسْهُمٍ	أَسْهُمٍ	
في	فِي	فِي	
الشركة	الشَّرِكَةِ	الشَّرِكَةِ	
المالكة	الْمَالِكَةِ	الْمَالِكَةِ	
لأكبر	لِأَكْبَرِ	لِأَكْبَرِ	
موقع	مَوْقِعِ	مَوْقِعِ	
تواصل	تَوَاصُلٍ	تَوَاصُلٍ	
على	عَلَى	عَلَى	
الإنترنت	الْإِنْتَرْنِتْ	الْإِنْتَرْنِتْ	الْإِنْتِرْنِتْ
.	.	.	
			
وسوف	وَسَوْفَ	وَسَوْفَ	
تدفع	تَدْفَعُ	تَدْفَعُ	
"	"	"	
فيسبوك	فِيسْبُوكْ	فِيسْبُوكْ	
"	"	"	
مبلغ	مَبْلَغَ	مَبْلَغَ	
12	12	12	
مليار	مِلْيَارَ	مِلْيَارَ	
دولار	دُولَارٍ	دُولَارٍ	
أميركي	أَمِيرِكِيٍّ	أَمِيرِكِيٍّ	أَمِيرْكِيٍّ
كأسهم	كَأَسْهُمٍ	كَأَسْهُمٍ	
نظير	نَظِيرَ	نَظِيرَ	
الاستحواذ	الِاسْتِحْوَاذِ	الِاسْتِحْوَاذِ	
على	عَلَى	عَلَى	
"	"	"	
واتس	وَاتِسْ	وَاتِسْ	
آب	آبْ	آبْ	
"	"	"	
،	،	،	
فيما	فِيمَا	فِيمَا	
ستدفع	سَتَدْفَعُ	سَتَدْفَعُ	
4	4	4	
مليارات	مِلْيَارَاتِ	مِلْيَارَاتِ	
دولار	دُولَارٍ	دُولَارٍ	
نقدا	نَقْدًا	نَقْدًا	
،	،	،	
وذلك	وَذَلِكَ	وَذَٰلِكَ	
حسب	حَسَبَ	حَسَبَ	
ما	مَا	مَا	
جاء	جَاءَ	جَاءَ	
في	فِي	فِي	
التقرير	التَّقْرِيرِ	التَّقْرِيرِ	
الذي	الَّذِي	الَّذِي	
قدمته	قَدَّمَتْهُ	قَدَّمَتْهُ	
الشركة	الشَّرِكَةُ	الشَّرِكَةُ	
للجنة	لِلَجْنَةِ	لِلَجْنَةِ	
الأوراق	الْأَوْرَاقِ	الْأَوْرَاقِ	
المالية	الْمَالِيَّةِ	الْمَالِيَّةِ	
والبورصات	وَالْبُورْصَاتِ	وَالْبُورْصَاتِ	
الأميركية	الْأَمِيرِكِيَّةِ	الْأَمِيرِكِيَّةِ	الْأَمِيرْكِيَّةِ
.	.	.	
وتعتزم	وَتَعْتَزِمُ	وَتَعْتَزِمُ	
الشركة	الشَّرِكَةُ	الشَّرِكَةُ	
أن	أَنْ	أَنْ	
تدفع	تَدْفَعَ	تَدْفَعَ	
3	3	3	
مليارات	مِلْيَارَاتِ	مِلْيَارَاتِ	
دولار	دُولَارٍ	دُولَارٍ	
أميركية	أَمِيرِكِيَّةٍ	أَمِيرِكِيَّةٍ	أَمِيرْكِيَّةٍ
إضافية	إِضَافِيَّةٍ	إِضَافِيَّةٍ	
كأسهم	كَأَسْهُمٍ	كَأَسْهُمٍ	
مقيدة	مُقَيَّدَةٍ	مُقَيَّدَةٍ	
لملاك	لِمُلَّاكِ	لِمُلَّاكِ	
"	"	"	
واتس	وَاتِسْ	وَاتِسْ	
آب	آبْ	آبْ	
"	"	"	
وفريق	وَفَرِيقِ	وَفَرِيقِ	
عمل	عَمَلِ	عَمَلِ	
الخدمة	الْخِدْمَةِ	الْخِدْمَةِ	
،	،	،	
وهي	وَهِيَ	وَهِيَ	
الأسهم	الْأَسْهُمُ	الْأَسْهُمُ	
التي	الَّتِي	الَّتِي	
تكون	تَكُونُ	تَكُونُ	
عادة	عَادَةً	عَادَةً	
مقيدة	مُقَيَّدَةً	مُقَيَّدَةً	
بعدة	بِعِدَّةِ	بِعِدَّةِ	
شروط	شُرُوطٍ	شُرُوطٍ	
فلا	فَلَا	فَلَا	
تنتقل	تَنْتَقِلُ	تَنْتَقِلُ	
ملكيتها	مِلْكِيَّتُهَا	مِلْكِيَّتُهَا	
إلا	إِلَّا	إِلَّا	
بإتمام	بِإِتْمَامِ	بِإِتْمَامِ	
تلك	تِلْكَ	تِلْكَ	
الشروط	الشُّرُوطِ	الشُّرُوطِ	
.	.	.	
وفي	وَفِي	وَفِي	
حال	حَالِ	حَالِ	
إتمام	إِتْمَامِ	إِتْمَامِ	
شروط	شُرُوطِ	شُرُوطِ	
تلك	تِلْكَ	تِلْكَ	
الأسهم	الْأَسْهُمِ	الْأَسْهُمِ	
المقيدة	الْمُقَيَّدَةِ	الْمُقَيَّدَةِ	
سوف	سَوْفَ	سَوْفَ	
ترتفع	تَرْتَفِعُ	تَرْتَفِعُ	
قيمة	قِيمَةُ	قِيمَةُ	
صفقة	صَفْقَةِ	صَفْقَةِ	
الاستحواذ	الِاسْتِحْوَاذِ	الِاسْتِحْوَاذِ	
إلى	إِلَى	إِلَى	
19	19	19	
مليار	مِلْيَارَ	مِلْيَارَ	
دولار	دُولَارٍ	دُولَارٍ	
أميركي	أَمِيرِكِيٍّ	أَمِيرِكِيٍّ	أَمِيرْكِيٍّ
.	.	.	
			
وفي	وَفِي	وَفِي	
إطار	إِطَارِ	إِطَارِ	
الصفقة	الصَّفْقَةِ	الصَّفْقَةِ	
،	،	،	
سوف	سَوْفَ	سَوْفَ	
ينضم	يَنْضَمُّ	يَنْضَمُّ	
الفريق	الْفَرِيقُ	الْفَرِيقُ	
العامل	الْعَامِلُ	الْعَامِلُ	
على	عَلَى	عَلَى	
"	"	"	
واتس	وَاتِسْ	وَاتِسْ	
آب	آبْ	آبْ	
"	"	"	
إلى	إِلَى	إِلَى	
"	"	"	
فيسبوك	فِيسْبُوكْ	فِيسْبُوكْ	
"	"	"	
.	.	.	
إلا	إِلَّا	إِلَّا	
أن	أَنَّ	أَنَّ	
مارك	مَارْكْ	مَارْكْ	
زوكربيرغ	زُوكْرِبِيرْغْ	زُوكْرِبِيرْغْ	
،	،	،	
مؤسس	مُؤَسِّسَ	مُؤَسِّسَ	
"	"	"	
فيسبوك	فِيسْبُوكْ	فِيسْبُوكْ	
"	"	"	
ورئيسها	وَرَئِيسَهَا	وَرَئِيسَهَا	
التنفيذي	التَّنْفِيذِيَّ	التَّنْفِيذِيَّ	
،	،	،	
أوضح	أَوْضَحَ	أَوْضَحَ	
أن	أَنَّ	أَنَّ	
"	"	"	
واتس	وَاتِسْ	وَاتِسْ	
آب	آبْ	آبْ	
"	"	"	
سوف	سَوْفَ	سَوْفَ	
يعمل	يَعْمَلُ	يَعْمَلُ	
بشكل	بِشَكْلٍ	بِشَكْلٍ	
مستقل	مُسْتَقِلٍّ	مُسْتَقِلٍّ	
داخل	دَاخِلَ	دَاخِلَ	
شركته	شَرِكَتِهِ	شَرِكَتِهِ	
.	.	.	
وأضاف	وَأَضَافَ	وَأَضَافَ	
أن	أَنَّ	أَنَّ	
شركته	شَرِكَتَهُ	شَرِكَتَهُ	
اشترت	اشْتَرَتْ	اشْتَرَتْ	
واتس	وَاتِسْ	وَاتِسْ	
آب	آبْ	آبْ	
لأن	لِأَنَّ	لِأَنَّ	
الأخيرة	الْأَخِيرَةَ	الْأَخِيرَةَ	
تضم	تَضُمُّ	تَضُمُّ	
450	450	450	
مليون	مِلْيُونِ	مِلْيُونِ	
مستخدم	مُسْتَخْدِمٍ	مُسْتَخْدِمٍ	
ديناميكي	دِينَامِيكِيٍّ	دِينَامِيكِيٍّ	
،	،	،	
والعدد	وَالْعَدَدُ	وَالْعَدَدُ	
مرشح	مُرَشَّحٌ	مُرَشَّحٌ	
للزيادة	لِلزِّيَادَةِ	لِلزِّيَادَةِ	
.	.	.	
وأضاف	وَأَضَافَ	وَأَضَافَ	
مارك	مَارْكْ	مَارْكْ	
أن	أَنَّ	أَنَّ	
هدف	هَدَفَ	هَدَفَ	
الشركتين	الشَّرِكَتَيْنِ	الشَّرِكَتَيْنِ	
وصل	وَصْلُ	وَصْلُ	
العالم	الْعَالَمِ	الْعَالَمِ	
ببعضه	بِبَعْضِهِ	بِبَعْضِهِ	
.	.	.	
			
وأوضح	وَأَوْضَحَ	وَأَوْضَحَ	
مؤسس	مُؤَسِّسُ	مُؤَسِّسُ	
"	"	"	
فيسبوك	فِيسْبُوكْ	فِيسْبُوكْ	
"	"	"	
أن	أَنَّ	أَنَّ	
الاستحواذ	الِاسْتِحْوَاذَ	الِاسْتِحْوَاذَ	
على	عَلَى	عَلَى	
"	"	"	
واتس	وَاتِسْ	وَاتِسْ	
آب	آبْ	آبْ	
"	"	"	
سيساعد	سَيُسَاعِدُ	سَيُسَاعِدُ	
شركته	شَرِكَتَهُ	شَرِكَتَهُ	
على	عَلَى	عَلَى	
الاستمرار	الِاسْتِمْرَارِ	الِاسْتِمْرَارِ	
في	فِي	فِي	
تقديم	تَقْدِيمِ	تَقْدِيمِ	
خدمات	خِدْمَاتِ	خِدْمَاتِ	خَدَمَاتِ
التواصل	التَّوَاصُلِ	التَّوَاصُلِ	
للمستخدمين	لِلْمُسْتَخْدِمِينَ	لِلْمُسْتَخْدِمِينَ	
حول	حَوْلَ	حَوْلَ	
العالم	الْعَالَمِ	الْعَالَمِ	
،	،	،	
وتبادل	وَتَبَادُلِ	وَتَبَادُلِ	
أي	أَيِّ	أَيِّ	
نوع	نَوْعٍ	نَوْعٍ	
من	مِنْ	مِنَ	
المحتوى	الْمُحْتَوَى	الْمُحْتَوَى	
مع	مَعَ	مَعَ	
أي	أَيِّ	أَيِّ	
مجموعة	مَجْمُوعَةٍ	مَجْمُوعَةٍ	
من	مِنْ	مِنَ	
الأشخاص	الْأَشْخَاصِ	الْأَشْخَاصِ	
التي	الَّتِي	الَّتِي	
يختارونها	يَخْتَارُونَهَا	يَخْتَارُونَهَا	
